,Country Name,Year,Domestic credit to private sector (% of GDP),"Foreign direct investment, net inflows (% of GDP)",GDP per capita (constant 2015 US$),Gross fixed capital formation (% of GDP),"Inflation, consumer prices (annual %)",Trade (% of GDP)
0,Brazil,1995,43.494524816889765,0.6315860203544937,6596.335726748186,20.286297620941408,66.0070335542481,16.98445999919555
1,Brazil,1996,40.7784936784467,1.475965411357561,6640.727006557501,18.640653783809817,15.7576656002606,15.635591475868166
2,Brazil,1997,40.85223717139448,2.150453059153537,6764.858420913194,19.12290112583917,6.92671251629154,16.57620926132469
3,Brazil,1998,29.53226056551028,3.340888093285034,6687.495235502419,18.54234850265716,3.19507629280052,16.438584931205906
4,Brazil,1999,29.82691020283472,4.73377022686194,6621.636762495388,17.016294222603637,4.85844749902667,20.98216647822845
5,Brazil,2000,31.140985777616244,5.033916805283141,6817.784240857004,18.304488031120048,7.04414105947266,22.639761356794075
6,Brazil,2001,29.004038021004302,4.147593773983849,6823.033969998905,18.418086500920865,6.84035902487523,26.936285022064038
7,Brazil,2002,29.64514194181429,3.2535806127152687,6944.623374957547,17.92625082380541,8.45016437708331,27.618357402230938
8,Brazil,2003,27.685669944434547,1.8134005243930607,6941.440457450799,16.60475915356877,14.7149197228147,28.140384723159283
9,Brazil,2004,29.372770255414988,2.71353166307823,7258.78185165912,17.32023332425334,6.59718509985963,29.678252478753542
10,Brazil,2005,31.83978415499086,1.733893546027185,7409.569132327184,17.05618346132268,6.86953720898964,27.086795204331466
11,Brazil,2006,35.425166676593406,1.7531257036260117,7622.040071332641,17.21029957501028,4.18356812896909,26.04169989179001
12,Brazil,2007,40.69093794335236,3.19082601308524,8003.254130960475,17.995761341067208,3.64127299102652,25.292611375539405
13,Brazil,2008,45.78225599516897,2.9906094692290264,8330.76459841304,19.385329555166102,5.67859390284168,27.25756941735604
14,Brazil,2009,47.49428984661453,1.8884822409572368,8246.09706995094,19.101958037390055,4.88803479876799,22.10597560603325
15,Brazil,2010,52.76465763044297,3.7300128835094495,8792.634361203416,20.53467365135759,5.03872690108075,22.772178113176984
16,Brazil,2011,58.078491106201845,3.915180114054332,9067.993163480473,20.60896420880556,6.6364496221309,23.93440517587209
17,Brazil,2012,62.5192932018235,3.7549628564121793,9167.499239298155,20.71671277037416,5.40349914036997,25.11427361073983
